Path,height,weight,BMI
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0000.jpg,1.62,45.0,17.146776
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0001.jpg,1.73,64.0,21.383942
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0002.jpg,1.6,50.0,19.531248
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0003.jpg,1.7,47.0,16.262976
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0004.jpg,1.63,45.0,16.937033
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0005.jpg,1.73,51.0,17.040327
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0006.jpg,1.75,64.0,20.897959
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0007.jpg,1.78,64.0,20.19947
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0008.jpg,1.75,48.0,15.67347
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0009.jpg,1.78,75.0,23.671255
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0010.jpg,1.75,63.0,20.571428
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0011.jpg,1.65,43.0,15.794308
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0012.jpg,1.8,72.0,22.222223
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0013.jpg,1.74,67.0,22.12974
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0014.jpg,1.78,65.0,20.515087
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0015.jpg,1.82,64.0,19.321337
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0016.jpg,1.63,45.0,16.937033
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0017.jpg,1.78,73.0,23.040022
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0018.jpg,1.8,80.0,24.69136
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0019.jpg,1.85,70.0,20.452885
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0020.jpg,1.78,70.0,22.093172
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0021.jpg,1.68,47.0,16.652494
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0022.jpg,1.74,50.0,16.51473
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0023.jpg,1.7,57.0,19.723183
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0024.jpg,1.8,82.0,25.308643
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0025.jpg,1.71,54.0,18.46722
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0026.jpg,1.6,42.0,16.406248
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0027.jpg,1.65,45.0,16.528927
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0028.jpg,1.67,50.0,17.928217
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0029.jpg,1.65,45.0,16.528927
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0030.jpg,1.68,51.0,18.069729
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0031.jpg,1.62,43.0,16.384699
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0032.jpg,1.83,75.0,22.395412
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0033.jpg,1.79,55.0,17.165506
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0034.jpg,1.63,45.0,16.937033
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0035.jpg,1.8,68.0,20.987656
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0036.jpg,1.64,43.0,15.987508
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0037.jpg,1.69,45.0,15.755751
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0038.jpg,1.75,64.0,20.897959
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0039.jpg,1.68,49.0,17.361113
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0040.jpg,1.75,74.0,24.163265
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0041.jpg,1.62,52.0,19.814053
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0042.jpg,1.64,50.0,18.590124
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0043.jpg,1.72,47.0,15.886966
/home/ubuntu/Desktop/FaceToBMI/data/test_data/images/0045.jpg,1.71,54.0,18.46722
