Path,height,weight,BMI
/Users/casey/Downloads/FaceToBMI/data/test_data/images/0000.jpg,1.62,45.0,17.146776406035663
/Users/casey/Downloads/FaceToBMI/data/test_data/images/0001.jpg,1.73,64.0,21.383941996057334
/Users/casey/Downloads/FaceToBMI/data/test_data/images/0002.jpg,1.6,50.0,19.531249999999996
/Users/casey/Downloads/FaceToBMI/data/test_data/images/0003.jpg,1.7,47.0,16.262975778546714
/Users/casey/Downloads/FaceToBMI/data/test_data/images/0004.jpg,1.63,45.0,16.937031879257784
/Users/casey/Downloads/FaceToBMI/data/test_data/images/0005.jpg,1.73,51.0,17.04032877810819
/Users/casey/Downloads/FaceToBMI/data/test_data/images/0006.jpg,1.75,64.0,20.897959183673468
/Users/casey/Downloads/FaceToBMI/data/test_data/images/0007.jpg,1.78,64.0,20.199469763918696
/Users/casey/Downloads/FaceToBMI/data/test_data/images/0008.jpg,1.75,48.0,15.673469387755102
/Users/casey/Downloads/FaceToBMI/data/test_data/images/0009.jpg,1.78,75.0,23.671253629592222
/Users/casey/Downloads/FaceToBMI/data/test_data/images/0010.jpg,1.75,63.0,20.571428571428573
/Users/casey/Downloads/FaceToBMI/data/test_data/images/0011.jpg,1.65,43.0,15.794306703397615
/Users/casey/Downloads/FaceToBMI/data/test_data/images/0012.jpg,1.8,72.0,22.22222222222222
/Users/casey/Downloads/FaceToBMI/data/test_data/images/0013.jpg,1.74,67.0,22.12973972783723
/Users/casey/Downloads/FaceToBMI/data/test_data/images/0014.jpg,1.78,65.0,20.515086478979924
/Users/casey/Downloads/FaceToBMI/data/test_data/images/0015.jpg,1.82,64.0,19.32133800265668
/Users/casey/Downloads/FaceToBMI/data/test_data/images/0016.jpg,1.63,45.0,16.937031879257784
/Users/casey/Downloads/FaceToBMI/data/test_data/images/0017.jpg,1.78,73.0,23.04002019946976
/Users/casey/Downloads/FaceToBMI/data/test_data/images/0018.jpg,1.8,80.0,24.691358024691358
/Users/casey/Downloads/FaceToBMI/data/test_data/images/0019.jpg,1.85,70.0,20.45288531775018
/Users/casey/Downloads/FaceToBMI/data/test_data/images/0020.jpg,1.78,70.0,22.093170054286073
